inv_numb,node,x,y,w,h,neighbors
inv-0001,"(0, 0)",71,63,604,22,"[(1, 0)]"
inv-0001,"(0, 1)",1489,62,205,30,"[(1, 1)]"
inv-0001,"(1, 0)",72,91,254,17,"[(0, 0), (2, 0), (1, 1)]"
inv-0001,"(1, 1)",373,96,15,12,"[(0, 1), (1, 0)]"
inv-0001,"(1, 2)",1552,95,142,14,[]
inv-0001,"(2, 0)",1505,111,185,14,"[(1, 0), (3, 0)]"
inv-0001,"(3, 0)",1339,127,356,14,"[(2, 0), (4, 0)]"
inv-0001,"(4, 0)",1650,145,45,14,"[(3, 0), (5, 0)]"
inv-0001,"(5, 0)",74,163,405,16,"[(4, 0), (6, 0)]"
inv-0001,"(6, 0)",73,185,390,17,"[(5, 0), (7, 0)]"
inv-0001,"(7, 0)",74,207,334,16,"[(6, 0), (8, 0)]"
inv-0001,"(8, 0)",74,231,285,15,"[(7, 0), (9, 0)]"
inv-0001,"(9, 0)",74,253,927,17,"[(8, 0), (10, 0)]"
inv-0001,"(10, 0)",74,276,607,16,"[(9, 0), (11, 0)]"
inv-0001,"(11, 0)",74,299,640,16,"[(10, 0), (12, 0)]"
inv-0001,"(12, 0)",73,321,519,17,"[(11, 0), (13, 0)]"
inv-0001,"(13, 0)",74,344,348,16,"[(12, 0), (14, 0)]"
inv-0001,"(14, 0)",74,367,384,17,"[(13, 0), (15, 0)]"
inv-0001,"(15, 0)",73,391,634,17,"[(14, 0), (16, 0)]"
inv-0001,"(16, 0)",884,444,79,13,"[(15, 0), (17, 0)]"
inv-0001,"(16, 1)",1305,446,78,12,"[(17, 1), (16, 2)]"
inv-0001,"(16, 2)",1455,449,52,15,"[(17, 2), (16, 1)]"
inv-0001,"(17, 0)",87,482,374,55,"[(16, 0), (18, 0), (17, 1)]"
inv-0001,"(17, 1)",481,482,51,56,"[(16, 1), (18, 1), (17, 0), (17, 2)]"
inv-0001,"(17, 2)",547,466,146,15,"[(16, 2), (18, 2), (17, 1), (17, 3)]"
inv-0001,"(17, 3)",708,483,57,56,"[(18, 3), (17, 2), (17, 4)]"
inv-0001,"(17, 4)",775,464,79,94,"[(18, 4), (17, 3), (17, 5)]"
inv-0001,"(17, 5)",863,464,120,111,"[(18, 5), (17, 4), (17, 6)]"
inv-0001,"(17, 6)",1002,473,49,73,"[(18, 6), (17, 5), (17, 7)]"
inv-0001,"(17, 7)",1071,493,78,32,"[(18, 7), (17, 6), (17, 8)]"
inv-0001,"(17, 8)",1159,484,116,56,"[(18, 8), (17, 7), (17, 9)]"
inv-0001,"(17, 9)",1284,465,121,111,"[(18, 9), (17, 8), (17, 10)]"
inv-0001,"(17, 10)",1424,471,115,33,"[(18, 10), (17, 9), (17, 11)]"
inv-0001,"(17, 11)",1560,474,132,76,"[(18, 11), (17, 10)]"
inv-0001,"(18, 0)",271,583,6,11,"[(17, 0), (19, 0), (18, 1)]"
inv-0001,"(18, 1)",500,583,15,12,"[(17, 1), (19, 1), (18, 0), (18, 2)]"
inv-0001,"(18, 2)",554,583,7,12,"[(17, 2), (19, 2), (18, 1), (18, 3)]"
inv-0001,"(18, 3)",632,583,16,12,"[(17, 3), (19, 3), (18, 2), (18, 4)]"
inv-0001,"(18, 4)",734,583,7,13,"[(17, 4), (19, 4), (18, 3), (18, 5)]"
inv-0001,"(18, 5)",811,584,8,12,"[(17, 5), (19, 5), (18, 4), (18, 6)]"
inv-0001,"(18, 6)",920,584,7,12,"[(17, 6), (19, 6), (18, 5), (18, 7)]"
inv-0001,"(18, 7)",1023,584,7,12,"[(17, 7), (19, 7), (18, 6), (18, 8)]"
inv-0001,"(18, 8)",1106,584,8,12,"[(17, 8), (19, 8), (18, 7), (18, 9)]"
inv-0001,"(18, 9)",1214,584,7,13,"[(17, 9), (18, 8), (18, 10)]"
inv-0001,"(18, 10)",1341,584,8,13,"[(17, 10), (18, 9), (18, 11)]"
inv-0001,"(18, 11)",1441,585,15,12,"[(17, 11), (18, 10), (18, 12)]"
inv-0001,"(18, 12)",1510,585,24,12,"[(18, 11), (18, 13)]"
inv-0001,"(18, 13)",1619,586,15,11,"[(18, 12)]"
inv-0001,"(19, 0)",78,612,226,16,"[(18, 0), (20, 0), (19, 1)]"
inv-0001,"(19, 1)",545,613,25,12,"[(18, 1), (19, 0), (19, 2)]"
inv-0001,"(19, 2)",586,613,35,12,"[(18, 2), (19, 1), (19, 3)]"
inv-0001,"(19, 3)",712,613,51,13,"[(18, 3), (19, 2), (19, 4)]"
inv-0001,"(19, 4)",918,614,62,12,"[(18, 4), (19, 3), (19, 5)]"
inv-0001,"(19, 5)",1014,605,25,12,"[(18, 5), (19, 4), (19, 6)]"
inv-0001,"(19, 6)",1093,614,33,12,"[(18, 6), (19, 5), (19, 7)]"
inv-0001,"(19, 7)",1213,614,60,12,"[(18, 7), (19, 6), (19, 8)]"
inv-0001,"(19, 8)",1339,614,62,13,"[(18, 8), (19, 7)]"
inv-0001,"(20, 0)",1002,627,49,11,"[(19, 0), (21, 0)]"
inv-0001,"(21, 0)",79,649,128,12,"[(20, 0), (22, 0)]"
inv-0001,"(21, 1)",918,650,63,12,"[(22, 1), (21, 2)]"
inv-0001,"(21, 2)",1068,653,7,9,"[(22, 2), (21, 1), (21, 3)]"
inv-0001,"(21, 3)",1213,650,60,13,"[(21, 2), (21, 4)]"
inv-0001,"(21, 4)",1339,650,62,13,"[(21, 3)]"
inv-0001,"(22, 0)",73,680,202,16,"[(21, 0), (23, 0), (22, 1)]"
inv-0001,"(22, 1)",556,681,121,16,"[(21, 1), (23, 1), (22, 0)]"
inv-0001,"(22, 2)",1018,682,144,16,"[(21, 2), (23, 2)]"
inv-0001,"(23, 0)",73,703,238,13,"[(22, 0), (24, 0), (23, 1)]"
inv-0001,"(23, 1)",410,704,85,12,"[(22, 1), (24, 1), (23, 0), (23, 2)]"
inv-0001,"(23, 2)",557,701,392,16,"[(22, 2), (24, 2), (23, 1), (23, 3)]"
inv-0001,"(23, 3)",1018,704,238,13,"[(24, 3), (23, 2)]"
inv-0001,"(24, 0)",423,723,60,14,"[(23, 0), (25, 0), (24, 1)]"
inv-0001,"(24, 1)",745,724,47,13,"[(23, 1), (24, 0)]"
inv-0001,"(24, 2)",1317,724,60,14,"[(23, 2), (24, 3)]"
inv-0001,"(24, 3)",1547,725,47,14,"[(23, 3), (24, 2)]"
inv-0001,"(25, 0)",74,749,267,15,"[(24, 0), (26, 0)]"
inv-0001,"(26, 0)",73,771,238,13,"[(25, 0), (27, 0)]"
inv-0001,"(27, 0)",466,791,60,14,"[(26, 0), (28, 0), (27, 1)]"
inv-0001,"(27, 1)",773,791,47,15,"[(27, 0), (27, 2)]"
inv-0001,"(27, 2)",1038,792,287,14,"[(27, 1)]"
inv-0001,"(28, 0)",1025,809,314,13,"[(27, 0), (29, 0)]"
inv-0001,"(29, 0)",622,1097,320,14,"[(28, 0), (30, 0), (29, 1)]"
inv-0001,"(29, 1)",1077,1098,633,14,"[(30, 1), (29, 0)]"
inv-0001,"(30, 0)",622,1114,293,14,"[(29, 0), (31, 0), (30, 1)]"
inv-0001,"(30, 1)",1175,1118,100,11,"[(29, 1), (31, 1), (30, 0)]"
inv-0001,"(31, 0)",622,1131,437,14,"[(30, 0), (32, 0), (31, 1)]"
inv-0001,"(31, 1)",1176,1132,521,14,"[(30, 1), (31, 0)]"
inv-0001,"(32, 0)",1077,1165,482,14,"[(31, 0), (33, 0)]"
inv-0001,"(33, 0)",1176,1182,518,14,"[(32, 0), (34, 0)]"
inv-0001,"(34, 0)",544,536,27,15,"[(33, 0), (35, 0), (34, 1)]"
inv-0001,"(34, 1)",580,519,120,52,"[(35, 1), (34, 0)]"
inv-0001,"(35, 0)",1412,527,73,34,"[(34, 0), (35, 1)]"
inv-0001,"(35, 1)",1491,521,61,49,"[(34, 1), (35, 0)]"
inv-0002,"(0, 0)",83,64,496,15,"[(1, 0), (0, 1)]"
inv-0002,"(0, 1)",634,64,35,14,"[(1, 1), (0, 0), (0, 2)]"
inv-0002,"(0, 2)",730,64,93,14,"[(0, 1)]"
inv-0002,"(1, 0)",634,88,52,14,"[(0, 0), (2, 0), (1, 1)]"
inv-0002,"(1, 1)",730,88,206,14,"[(0, 1), (1, 0)]"
inv-0002,"(2, 0)",82,108,127,15,"[(1, 0), (3, 0)]"
inv-0002,"(3, 0)",82,129,166,15,"[(2, 0), (4, 0), (3, 1)]"
inv-0002,"(3, 1)",370,129,155,14,"[(3, 0), (3, 2)]"
inv-0002,"(3, 2)",634,129,52,15,"[(3, 1), (3, 3)]"
inv-0002,"(3, 3)",730,129,206,15,"[(3, 2)]"
inv-0002,"(4, 0)",82,154,205,18,"[(3, 0), (5, 0)]"
inv-0002,"(5, 0)",81,194,90,15,"[(4, 0), (6, 0)]"
inv-0002,"(5, 1)",791,174,116,35,"[(6, 1)]"
inv-0002,"(6, 0)",83,242,632,29,"[(5, 0), (7, 0), (6, 1)]"
inv-0002,"(6, 1)",810,214,31,42,"[(5, 1), (6, 0), (6, 2)]"
inv-0002,"(6, 2)",926,246,98,19,"[(6, 1)]"
inv-0002,"(7, 0)",81,305,918,19,"[(6, 0), (8, 0)]"
inv-0002,"(8, 0)",81,328,591,21,"[(7, 0), (9, 0)]"
inv-0002,"(9, 0)",80,365,954,18,"[(8, 0), (10, 0)]"
inv-0002,"(10, 0)",215,391,225,18,"[(9, 0), (11, 0)]"
inv-0002,"(11, 0)",93,410,903,21,"[(10, 0), (12, 0)]"
inv-0002,"(12, 0)",84,433,866,22,"[(11, 0), (13, 0)]"
inv-0002,"(13, 0)",216,462,386,18,"[(12, 0), (14, 0)]"
inv-0002,"(14, 0)",80,497,94,14,"[(13, 0), (15, 0), (14, 1)]"
inv-0002,"(14, 1)",217,497,588,18,"[(15, 1), (14, 0)]"
inv-0002,"(15, 0)",91,533,19,15,"[(14, 0), (16, 0), (15, 1)]"
inv-0002,"(15, 1)",263,533,229,19,"[(14, 1), (16, 1), (15, 0), (15, 2)]"
inv-0002,"(15, 2)",641,533,62,15,"[(16, 2), (15, 1), (15, 3)]"
inv-0002,"(15, 3)",733,533,27,17,"[(16, 3), (15, 2), (15, 4)]"
inv-0002,"(15, 4)",824,533,44,17,"[(16, 4), (15, 3), (15, 5)]"
inv-0002,"(15, 5)",960,533,59,18,"[(16, 5), (15, 4)]"
inv-0002,"(16, 0)",97,558,5,12,"[(15, 0), (17, 0), (16, 1)]"
inv-0002,"(16, 1)",128,558,398,17,"[(15, 1), (16, 0), (16, 2)]"
inv-0002,"(16, 2)",685,558,24,13,"[(15, 2), (16, 1), (16, 3)]"
inv-0002,"(16, 3)",716,561,8,10,"[(15, 3), (16, 2), (16, 4)]"
inv-0002,"(16, 4)",844,558,64,13,"[(15, 4), (16, 3), (16, 5)]"
inv-0002,"(16, 5)",989,557,72,13,"[(15, 5), (16, 4)]"
inv-0002,"(17, 0)",128,579,425,17,"[(16, 0), (18, 0)]"
inv-0002,"(18, 0)",128,601,490,16,"[(17, 0), (19, 0)]"
inv-0002,"(19, 0)",128,622,427,16,"[(18, 0), (20, 0)]"
inv-0002,"(20, 0)",128,643,476,16,"[(19, 0), (21, 0)]"
inv-0002,"(21, 0)",853,705,51,14,"[(20, 0), (22, 0), (21, 1)]"
inv-0002,"(21, 1)",979,704,82,17,"[(22, 1), (21, 0)]"
inv-0002,"(22, 0)",748,729,156,17,"[(21, 0), (23, 0), (22, 1)]"
inv-0002,"(22, 1)",988,729,72,17,"[(21, 1), (23, 1), (22, 0)]"
inv-0002,"(23, 0)",769,753,140,15,"[(22, 0), (24, 0), (23, 1)]"
inv-0002,"(23, 1)",979,753,82,17,"[(22, 1), (23, 0)]"
inv-0002,"(24, 0)",78,778,411,18,"[(23, 0), (25, 0)]"
inv-0002,"(25, 0)",77,802,598,18,"[(24, 0), (26, 0)]"
inv-0002,"(26, 0)",77,837,92,15,"[(25, 0), (27, 0)]"
inv-0002,"(27, 0)",77,860,623,19,"[(26, 0), (28, 0)]"
inv-0002,"(28, 0)",77,883,903,18,"[(27, 0), (29, 0)]"
inv-0002,"(29, 0)",77,905,936,19,"[(28, 0), (30, 0)]"
inv-0002,"(30, 0)",77,932,80,14,"[(29, 0), (31, 0)]"
inv-0002,"(31, 0)",77,987,132,18,"[(30, 0), (32, 0), (31, 1)]"
inv-0002,"(31, 1)",513,989,106,13,"[(32, 1), (31, 0), (31, 2)]"
inv-0002,"(31, 2)",664,987,92,18,"[(31, 1), (31, 3)]"
inv-0002,"(31, 3)",861,990,24,14,"[(31, 2), (31, 4)]"
inv-0002,"(31, 4)",952,988,110,13,"[(31, 3)]"
inv-0002,"(32, 0)",338,1013,23,20,"[(31, 0), (33, 0)]"
inv-0002,"(32, 1)",836,1020,19,12,"[(31, 1)]"
inv-0002,"(33, 0)",875,1066,143,27,"[(32, 0), (34, 0)]"
inv-0002,"(34, 0)",873,1095,179,51,"[(33, 0), (35, 0)]"
inv-0002,"(35, 0)",103,1231,146,20,"[(34, 0), (36, 0)]"
inv-0002,"(36, 0)",103,1255,183,21,"[(35, 0), (37, 0)]"
inv-0002,"(37, 0)",109,1285,121,20,"[(36, 0), (38, 0)]"
inv-0002,"(38, 0)",320,1519,82,23,"[(37, 0), (39, 0)]"
inv-0002,"(39, 0)",249,1544,189,25,"[(38, 0), (40, 0)]"
inv-0002,"(40, 0)",320,1575,57,18,"[(39, 0), (41, 0)]"
inv-0002,"(41, 0)",226,1602,268,41,"[(40, 0)]"
inv-0002,"(41, 1)",832,1610,266,48,[]
inv-0003,"(0, 0)",134,25,986,78,"[(1, 0)]"
inv-0003,"(1, 0)",280,114,695,23,"[(0, 0), (2, 0)]"
inv-0003,"(2, 0)",365,179,525,23,"[(1, 0), (3, 0)]"
inv-0003,"(3, 0)",472,205,310,21,"[(2, 0), (4, 0)]"
inv-0003,"(4, 0)",504,267,242,21,"[(3, 0), (5, 0)]"
inv-0003,"(5, 0)",198,296,96,16,"[(4, 0), (6, 0)]"
inv-0003,"(5, 1)",934,299,117,16,[]
inv-0003,"(6, 0)",95,341,614,23,"[(5, 0), (7, 0)]"
inv-0003,"(7, 0)",115,384,20,14,"[(6, 0), (8, 0), (7, 1)]"
inv-0003,"(7, 1)",167,384,277,20,"[(8, 1), (7, 0), (7, 2)]"
inv-0003,"(7, 2)",634,386,64,16,"[(8, 2), (7, 1), (7, 3)]"
inv-0003,"(7, 3)",752,387,102,15,"[(8, 3), (7, 2), (7, 4)]"
inv-0003,"(7, 4)",940,387,44,19,"[(8, 4), (7, 3), (7, 5)]"
inv-0003,"(7, 5)",1080,388,59,19,"[(8, 5), (7, 4)]"
inv-0003,"(8, 0)",118,415,5,15,"[(7, 0), (9, 0), (8, 1)]"
inv-0003,"(8, 1)",167,415,117,18,"[(7, 1), (9, 1), (8, 0)]"
inv-0003,"(8, 2)",658,417,21,16,"[(7, 2), (9, 2), (8, 3)]"
inv-0003,"(8, 3)",795,418,52,15,"[(7, 3), (9, 3), (8, 2), (8, 4)]"
inv-0003,"(8, 4)",929,418,54,15,"[(7, 4), (9, 4), (8, 3), (8, 5)]"
inv-0003,"(8, 5)",1073,419,66,18,"[(7, 5), (9, 5), (8, 4)]"
inv-0003,"(9, 0)",115,442,10,14,"[(8, 0), (10, 0), (9, 1)]"
inv-0003,"(9, 1)",167,442,161,19,"[(8, 1), (10, 1), (9, 0)]"
inv-0003,"(9, 2)",658,444,21,15,"[(8, 2), (10, 2), (9, 3)]"
inv-0003,"(9, 3)",805,445,43,15,"[(8, 3), (10, 3), (9, 2), (9, 4)]"
inv-0003,"(9, 4)",938,445,44,15,"[(8, 4), (10, 4), (9, 3), (9, 5)]"
inv-0003,"(9, 5)",1083,446,55,17,"[(8, 5), (10, 5), (9, 4)]"
inv-0003,"(10, 0)",116,468,7,15,"[(9, 0), (11, 0), (10, 1)]"
inv-0003,"(10, 1)",167,469,96,15,"[(9, 1), (11, 1), (10, 0)]"
inv-0003,"(10, 2)",648,471,41,15,"[(9, 2), (11, 2), (10, 3)]"
inv-0003,"(10, 3)",805,472,43,14,"[(9, 3), (11, 3), (10, 2), (10, 4)]"
inv-0003,"(10, 4)",919,472,63,15,"[(9, 4), (11, 4), (10, 3), (10, 5)]"
inv-0003,"(10, 5)",1073,473,63,17,"[(9, 5), (11, 5), (10, 4)]"
inv-0003,"(11, 0)",115,506,10,14,"[(10, 0), (12, 0), (11, 1)]"
inv-0003,"(11, 1)",167,495,424,20,"[(10, 1), (12, 1), (11, 0), (11, 2)]"
inv-0003,"(11, 2)",657,509,22,14,"[(10, 2), (11, 1), (11, 3)]"
inv-0003,"(11, 3)",792,509,55,15,"[(10, 3), (11, 2), (11, 4)]"
inv-0003,"(11, 4)",937,510,46,14,"[(10, 4), (11, 3), (11, 5)]"
inv-0003,"(11, 5)",1083,511,55,17,"[(10, 5), (11, 4)]"
inv-0003,"(12, 0)",920,553,62,15,"[(11, 0), (13, 0), (12, 1)]"
inv-0003,"(12, 1)",1072,553,66,18,"[(11, 1), (13, 1), (12, 0)]"
inv-0003,"(13, 0)",869,587,113,19,"[(12, 0), (14, 0), (13, 1)]"
inv-0003,"(13, 1)",1073,588,65,18,"[(12, 1), (14, 1), (13, 0)]"
inv-0003,"(14, 0)",775,620,207,19,"[(13, 0), (15, 0), (14, 1)]"
inv-0003,"(14, 1)",1072,621,66,17,"[(13, 1), (14, 0)]"
inv-0003,"(15, 0)",156,658,1003,23,"[(14, 0), (16, 0)]"
inv-0003,"(16, 0)",94,684,525,22,"[(15, 0), (17, 0)]"
inv-0003,"(17, 0)",156,720,994,22,"[(16, 0), (18, 0)]"
inv-0003,"(18, 0)",94,750,329,16,"[(17, 0), (19, 0)]"
inv-0003,"(19, 0)",156,785,285,21,"[(18, 0), (20, 0), (19, 1)]"
inv-0003,"(19, 1)",695,786,204,21,"[(20, 1), (19, 0)]"
inv-0003,"(20, 0)",156,815,475,22,"[(19, 0), (21, 0), (20, 1)]"
inv-0003,"(20, 1)",694,817,393,21,"[(19, 1), (21, 1), (20, 0)]"
inv-0003,"(21, 0)",156,842,384,21,"[(20, 0), (22, 0), (21, 1)]"
inv-0003,"(21, 1)",694,848,111,16,"[(20, 1), (21, 0)]"
inv-0003,"(22, 0)",156,868,115,16,"[(21, 0), (23, 0)]"
inv-0003,"(23, 0)",155,913,185,169,"[(22, 0), (24, 0), (23, 1)]"
inv-0003,"(23, 1)",287,965,321,117,"[(24, 1), (23, 0), (23, 2)]"
inv-0003,"(23, 2)",694,914,342,170,"[(23, 1)]"
inv-0003,"(24, 0)",108,1086,294,126,"[(23, 0), (25, 0), (24, 1)]"
inv-0003,"(24, 1)",694,1088,229,80,"[(23, 1), (24, 0)]"
inv-0003,"(25, 0)",975,1510,99,19,"[(24, 0), (26, 0)]"
inv-0003,"(26, 0)",1000,1535,40,18,"[(25, 0), (27, 0)]"
inv-0003,"(27, 0)",232,1554,251,29,"[(26, 0), (28, 0)]"
inv-0003,"(27, 1)",926,1557,198,20,"[(28, 1)]"
inv-0003,"(28, 0)",61,1599,357,133,"[(27, 0), (29, 0), (28, 1)]"
inv-0003,"(28, 1)",533,1632,225,105,"[(27, 1), (28, 0)]"
inv-0003,"(29, 0)",699,106,61,7,"[(28, 0)]"
inv-0004,"(0, 0)",139,17,795,178,"[(1, 0)]"
inv-0004,"(1, 0)",161,224,746,16,"[(0, 0), (2, 0)]"
inv-0004,"(2, 0)",385,239,300,13,"[(1, 0), (3, 0)]"
inv-0004,"(3, 0)",402,281,267,15,"[(2, 0), (4, 0)]"
inv-0004,"(4, 0)",139,302,96,10,"[(3, 0), (5, 0), (4, 1)]"
inv-0004,"(4, 1)",348,303,85,10,"[(5, 1), (4, 0)]"
inv-0004,"(5, 0)",139,322,72,14,"[(4, 0), (6, 0)]"
inv-0004,"(5, 1)",612,332,34,9,"[(4, 1), (5, 2)]"
inv-0004,"(5, 2)",686,332,134,10,"[(5, 1)]"
inv-0004,"(6, 0)",139,355,357,14,"[(5, 0), (7, 0)]"
inv-0004,"(7, 0)",139,376,102,14,"[(6, 0), (8, 0)]"
inv-0004,"(7, 1)",618,378,22,10,"[(8, 1), (7, 2)]"
inv-0004,"(7, 2)",685,385,60,10,"[(8, 2), (7, 1)]"
inv-0004,"(8, 0)",139,412,84,12,"[(7, 0), (9, 0)]"
inv-0004,"(8, 1)",612,406,34,10,"[(7, 1), (8, 2)]"
inv-0004,"(8, 2)",685,406,134,10,"[(7, 2), (8, 1)]"
inv-0004,"(9, 0)",292,445,450,23,"[(8, 0), (10, 0)]"
inv-0004,"(10, 0)",141,486,69,12,"[(9, 0), (11, 0), (10, 1)]"
inv-0004,"(10, 1)",258,487,225,13,"[(11, 1), (10, 0)]"
inv-0004,"(11, 0)",140,504,46,12,"[(10, 0), (12, 0), (11, 1)]"
inv-0004,"(11, 1)",258,505,139,12,"[(10, 1), (11, 0)]"
inv-0004,"(12, 0)",141,522,341,14,"[(11, 0), (13, 0)]"
inv-0004,"(13, 0)",156,564,12,9,"[(12, 0), (14, 0), (13, 1)]"
inv-0004,"(13, 1)",316,564,125,13,"[(14, 1), (13, 0), (13, 2)]"
inv-0004,"(13, 2)",573,559,59,26,"[(13, 1), (13, 3)]"
inv-0004,"(13, 3)",645,566,65,10,"[(13, 2), (13, 4)]"
inv-0004,"(13, 4)",758,567,28,11,"[(13, 3), (13, 5)]"
inv-0004,"(13, 5)",861,568,39,11,"[(13, 4)]"
inv-0004,"(14, 0)",181,590,3,9,"[(13, 0), (15, 0), (14, 1)]"
inv-0004,"(14, 1)",192,590,371,14,"[(13, 1), (14, 0)]"
inv-0004,"(15, 0)",192,605,361,12,"[(14, 0), (16, 0)]"
inv-0004,"(16, 0)",192,618,156,14,"[(15, 0), (17, 0), (16, 1)]"
inv-0004,"(16, 1)",595,623,15,7,"[(17, 1), (16, 0), (16, 2)]"
inv-0004,"(16, 2)",710,621,3,9,"[(16, 1), (16, 3)]"
inv-0004,"(16, 3)",774,622,49,10,"[(16, 2), (16, 4)]"
inv-0004,"(16, 4)",882,623,50,9,"[(16, 3)]"
inv-0004,"(17, 0)",786,641,34,9,"[(16, 0), (18, 0), (17, 1)]"
inv-0004,"(17, 1)",881,641,50,10,"[(16, 1), (18, 1), (17, 0)]"
inv-0004,"(18, 0)",761,660,59,11,"[(17, 0), (19, 0), (18, 1)]"
inv-0004,"(18, 1)",888,660,44,10,"[(17, 1), (19, 1), (18, 0)]"
inv-0004,"(19, 0)",732,678,89,11,"[(18, 0), (20, 0), (19, 1)]"
inv-0004,"(19, 1)",882,680,49,9,"[(18, 1), (19, 0)]"
inv-0004,"(20, 0)",135,707,238,12,"[(19, 0), (21, 0)]"
inv-0004,"(21, 0)",134,720,367,14,"[(20, 0)]"
inv-0005,"(0, 0)",1120,14,80,19,"[(1, 0)]"
inv-0005,"(1, 0)",55,69,430,16,"[(0, 0), (2, 0)]"
inv-0005,"(1, 1)",1103,40,92,32,[]
inv-0005,"(2, 0)",55,84,835,90,"[(1, 0), (3, 0)]"
inv-0005,"(3, 0)",54,186,152,35,"[(2, 0), (4, 0), (3, 1)]"
inv-0005,"(3, 1)",226,184,338,37,"[(4, 1), (3, 0), (3, 2)]"
inv-0005,"(3, 2)",660,178,131,46,"[(4, 2), (3, 1)]"
inv-0005,"(4, 0)",54,235,144,35,"[(3, 0), (5, 0), (4, 1)]"
inv-0005,"(4, 1)",226,234,357,36,"[(3, 1), (5, 1), (4, 0), (4, 2)]"
inv-0005,"(4, 2)",648,227,98,88,"[(3, 2), (5, 2), (4, 1), (4, 3)]"
inv-0005,"(4, 3)",1021,233,114,54,"[(4, 2)]"
inv-0005,"(5, 0)",54,335,158,15,"[(4, 0), (6, 0), (5, 1)]"
inv-0005,"(5, 1)",395,332,272,28,"[(4, 1), (6, 1), (5, 0), (5, 2)]"
inv-0005,"(5, 2)",765,331,381,24,"[(4, 2), (6, 2), (5, 1)]"
inv-0005,"(6, 0)",55,365,588,65,"[(5, 0), (7, 0), (6, 1)]"
inv-0005,"(6, 1)",799,372,11,18,"[(5, 1), (7, 1), (6, 0), (6, 2)]"
inv-0005,"(6, 2)",824,371,127,72,"[(5, 2), (6, 1), (6, 3)]"
inv-0005,"(6, 3)",958,371,105,35,"[(6, 2)]"
inv-0005,"(7, 0)",876,451,11,9,"[(6, 0), (8, 0), (7, 1)]"
inv-0005,"(7, 1)",958,442,113,14,"[(6, 1), (8, 1), (7, 0)]"
inv-0005,"(8, 0)",54,471,57,11,"[(7, 0), (9, 0)]"
inv-0005,"(8, 1)",876,461,11,30,"[(7, 1), (9, 1), (8, 2)]"
inv-0005,"(8, 2)",958,473,123,12,"[(8, 1)]"
inv-0005,"(9, 0)",54,492,34,11,"[(8, 0), (10, 0)]"
inv-0005,"(9, 1)",876,491,11,10,"[(8, 1), (10, 1)]"
inv-0005,"(10, 0)",54,513,67,12,"[(9, 0), (11, 0)]"
inv-0005,"(10, 1)",876,502,11,9,"[(9, 1), (11, 1), (10, 2)]"
inv-0005,"(10, 2)",958,508,104,15,"[(10, 1), (10, 3)]"
inv-0005,"(10, 3)",1089,508,59,12,"[(10, 2)]"
inv-0005,"(11, 0)",54,542,40,12,"[(10, 0), (12, 0)]"
inv-0005,"(11, 1)",409,541,41,12,"[(10, 1), (12, 1)]"
inv-0005,"(12, 0)",53,563,91,14,"[(11, 0), (13, 0), (12, 1)]"
inv-0005,"(12, 1)",409,562,129,14,"[(11, 1), (13, 1), (12, 0), (12, 2)]"
inv-0005,"(12, 2)",819,560,100,12,"[(13, 2), (12, 1)]"
inv-0005,"(13, 0)",53,584,69,12,"[(12, 0), (14, 0), (13, 1)]"
inv-0005,"(13, 1)",408,583,89,12,"[(12, 1), (13, 0)]"
inv-0005,"(13, 2)",819,582,26,12,"[(12, 2)]"
inv-0005,"(14, 0)",51,611,89,14,"[(13, 0), (15, 0)]"
inv-0005,"(15, 0)",81,658,254,15,"[(14, 0), (16, 0), (15, 1)]"
inv-0005,"(15, 1)",377,658,63,14,"[(16, 1), (15, 0), (15, 2)]"
inv-0005,"(15, 2)",455,658,88,11,"[(16, 2), (15, 1), (15, 3)]"
inv-0005,"(15, 3)",555,657,111,15,"[(16, 3), (15, 2), (15, 4)]"
inv-0005,"(15, 4)",709,657,82,12,"[(16, 4), (15, 3), (15, 5)]"
inv-0005,"(15, 5)",828,657,79,12,"[(16, 5), (15, 4), (15, 6)]"
inv-0005,"(15, 6)",927,656,53,15,"[(16, 6), (15, 5), (15, 7)]"
inv-0005,"(15, 7)",1016,656,149,15,"[(15, 6)]"
inv-0005,"(16, 0)",135,679,143,15,"[(15, 0), (17, 0), (16, 1)]"
inv-0005,"(16, 1)",368,682,81,12,"[(15, 1), (17, 1), (16, 0), (16, 2)]"
inv-0005,"(16, 2)",569,682,83,11,"[(15, 2), (17, 2), (16, 1), (16, 3)]"
inv-0005,"(16, 3)",691,677,116,16,"[(15, 3), (17, 3), (16, 2), (16, 4)]"
inv-0005,"(16, 4)",842,681,51,9,"[(15, 4), (16, 3), (16, 5)]"
inv-0005,"(16, 5)",929,680,50,10,"[(15, 5), (16, 4), (16, 6)]"
inv-0005,"(16, 6)",1007,677,167,15,"[(15, 6), (16, 5)]"
inv-0005,"(17, 0)",140,700,133,16,"[(16, 0), (18, 0), (17, 1)]"
inv-0005,"(17, 1)",570,703,81,12,"[(16, 1), (17, 0), (17, 2)]"
inv-0005,"(17, 2)",685,699,129,15,"[(16, 2), (17, 1), (17, 3)]"
inv-0005,"(17, 3)",1036,701,110,12,"[(16, 3), (17, 2)]"
inv-0005,"(18, 0)",725,723,50,9,"[(17, 0), (19, 0)]"
inv-0005,"(19, 0)",55,747,305,16,"[(18, 0), (20, 0), (19, 1)]"
